time,ultrasonic,sheepCount
1585150582.691113,20,4
1585150582.753529,20,4
1585150582.816009,22,4
1585150582.878422,18,4
1585150582.940839,13,4
1585150583.003262,15,4
1585150583.065686,16,4
1585150583.128285,17,4
1585150583.190737,15,4
1585150583.253136,13,4
1585150583.315539,13,4
1585150583.378036,15,4
1585150583.440488,17,4
1585150583.502886,18,4
1585150583.565289,17,4
1585150583.627706,14,4
1585150583.690112,16,4
1585150583.752521,22,4
1585150583.814941,21,4
1585150583.877363,22,4
1585150583.939774,19,4
1585150584.002191,22,4
1585150584.064606,148,4
1585150584.127062,23,4
1585150584.189486,24,4
1585150584.251894,28,4
1585150584.314297,25,4
1585150584.376830,20,4
1585150584.439264,24,4
1585150584.501696,148,4
1585150584.564113,148,4
1585150584.626536,25,4
1585150584.688996,148,4
1585150584.751408,148,4
1585150584.813809,148,4
1585150584.876215,148,4
1585150584.938627,148,4
1585150585.001079,148,4
1585150585.063517,148,4
1585150585.126057,148,4
1585150585.188483,148,4
1585150585.250893,148,4
1585150585.313315,148,4
1585150585.375856,148,4
1585150585.438420,148,4
1585150585.500843,148,4
1585150585.563253,148,4
1585150585.625700,24,4
1585150585.688209,148,4
1585150585.750614,23,4
1585150585.813032,148,4
1585150585.875455,24,4
1585150585.937880,148,4
1585150586.000289,148,4
1585150586.062766,148,4
1585150586.125357,148,4
1585150586.188084,148,4
1585150586.250696,148,4
1585150586.313316,148,4
1585150586.375924,148,4
1585150586.438574,148,4
1585150586.501164,148,4
1585150586.563808,148,4
1585150586.626465,148,4
1585150586.689006,148,4
1585150586.751611,148,4
1585150586.814157,148,4
1585150586.876792,148,4
1585150586.939403,148,4
1585150587.002013,148,4
1585150587.064624,148,4
1585150587.127293,148,4
1585150587.189923,148,4
1585150587.252551,148,4
1585150587.315158,148,4
1585150587.377798,148,4
1585150587.440319,148,4
1585150587.502724,148,4
1585150587.565201,148,4
1585150587.627671,148,4
1585150587.690087,148,4
1585150587.752532,148,4
1585150587.814961,148,4
1585150587.877376,148,4
1585150587.939784,148,4
1585150588.002191,148,4
1585150588.064634,148,4
1585150588.127068,148,4
1585150588.189489,148,4
1585150588.251914,148,4
1585150588.314333,148,4
1585150588.376848,148,4
1585150588.439260,148,4
1585150588.501664,148,4
1585150588.564075,148,4
